:START_ID(disease)|:END_ID(symptoms)|type:STRING|name:STRING
8155|43213|症状|症状
2012|41440|症状|症状
2191|43213|症状|症状
7337|39737|症状|症状
8167|40974|症状|症状
6769|39403|症状|症状
7096|43191|症状|症状
5207|42131|症状|症状
3765|40521|症状|症状
1749|43432|症状|症状
5007|39437|症状|症状
6899|38240|症状|症状
2815|43463|症状|症状
6229|40663|症状|症状
8044|40321|症状|症状
6080|42251|症状|症状
898|41093|症状|症状
4142|41601|症状|症状
440|40867|症状|症状
8238|38280|症状|症状
6771|41952|症状|症状
4365|38355|症状|症状
2989|39724|症状|症状
496|39991|症状|症状
7557|42744|症状|症状
8608|40754|症状|症状
1333|39474|症状|症状
6764|42299|症状|症状
7963|40800|症状|症状
560|41571|症状|症状
940|42964|症状|症状
1179|39152|症状|症状
1892|38355|症状|症状
7521|44047|症状|症状
6931|40062|症状|症状
2387|43903|症状|症状
1438|42122|症状|症状
665|39873|症状|症状
2071|40486|症状|症状
3270|39764|症状|症状
7775|41101|症状|症状
6722|43002|症状|症状
3737|40609|症状|症状
8740|42433|症状|症状
889|41571|症状|症状
2328|42749|症状|症状
1087|42573|症状|症状
852|39608|症状|症状
636|40910|症状|症状
2418|39925|症状|症状
4629|41101|症状|症状
8783|42627|症状|症状
3706|42923|症状|症状
382|40753|症状|症状
618|38927|症状|症状
7095|40138|症状|症状
3743|39821|症状|症状
6769|38661|症状|症状
7326|41197|症状|症状
1052|44039|症状|症状
8607|43638|症状|症状
1366|41547|症状|症状
703|42199|症状|症状
144|38133|症状|症状
8639|39760|症状|症状
120|41415|症状|症状
619|40974|症状|症状
2240|39551|症状|症状
5685|42542|症状|症状
5098|42749|症状|症状
8508|38173|症状|症状
1317|39096|症状|症状
4091|41314|症状|症状
2439|43213|症状|症状
2708|40241|症状|症状
983|39879|症状|症状
5096|42675|症状|症状
7243|38743|症状|症状
3169|39152|症状|症状
6819|40500|症状|症状
4097|43845|症状|症状
4331|38187|症状|症状
7044|43670|症状|症状
3787|42003|症状|症状
8393|39873|症状|症状
1185|39760|症状|症状
3209|43158|症状|症状
536|41943|症状|症状
8663|41408|症状|症状
6744|41620|症状|症状
4659|41936|症状|症状
63|38430|症状|症状
758|41409|症状|症状
5070|40407|症状|症状
5504|40241|症状|症状
8222|38851|症状|症状
1211|41065|症状|症状
5050|41309|症状|症状
1761|40348|症状|症状
7176|42200|症状|症状
1338|38829|症状|症状
1571|42139|症状|症状
6224|42961|症状|症状
535|43649|症状|症状
3872|40839|症状|症状
5451|40518|症状|症状
5811|43164|症状|症状
2236|42650|症状|症状
3050|42303|症状|症状
462|40754|症状|症状
6357|41197|症状|症状
8462|40453|症状|症状
6379|42596|症状|症状
1720|41789|症状|症状
363|40974|症状|症状
906|42251|症状|症状
5675|44101|症状|症状
3875|42251|症状|症状
6658|43362|症状|症状
5080|38881|症状|症状
6972|40804|症状|症状
6582|43829|症状|症状
8151|41036|症状|症状
1098|43256|症状|症状
4342|38927|症状|症状
1828|39221|症状|症状
8132|40237|症状|症状
2891|40241|症状|症状
4143|39760|症状|症状
2510|38729|症状|症状
