:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
6061|8832|好评药品|好评药品
5139|10377|好评药品|好评药品
408|9567|好评药品|好评药品
6189|11723|好评药品|好评药品
180|10788|好评药品|好评药品
5604|10650|好评药品|好评药品
2849|10417|好评药品|好评药品
7131|11032|好评药品|好评药品
3551|9873|好评药品|好评药品
3672|9096|好评药品|好评药品
6610|8887|好评药品|好评药品
4102|8893|好评药品|好评药品
4840|9770|好评药品|好评药品
2248|9947|好评药品|好评药品
3566|10287|好评药品|好评药品
6162|11848|好评药品|好评药品
4502|12344|好评药品|好评药品
8547|10738|好评药品|好评药品
4613|12046|好评药品|好评药品
2315|9111|好评药品|好评药品
6602|12134|好评药品|好评药品
5082|10127|好评药品|好评药品
7165|10316|好评药品|好评药品
8061|12605|好评药品|好评药品
2220|9561|好评药品|好评药品
8309|9148|好评药品|好评药品
8523|11531|好评药品|好评药品
1918|9294|好评药品|好评药品
2642|11122|好评药品|好评药品
946|10374|好评药品|好评药品
1435|12200|好评药品|好评药品
1639|12519|好评药品|好评药品
7199|11467|好评药品|好评药品
6047|10303|好评药品|好评药品
5090|10997|好评药品|好评药品
7420|8963|好评药品|好评药品
5004|12455|好评药品|好评药品
5531|12357|好评药品|好评药品
2683|11505|好评药品|好评药品
6846|8928|好评药品|好评药品
8171|8815|好评药品|好评药品
8499|11326|好评药品|好评药品
2654|8815|好评药品|好评药品
2921|11151|好评药品|好评药品
7872|12409|好评药品|好评药品
1505|11904|好评药品|好评药品
7671|10541|好评药品|好评药品
8575|8826|好评药品|好评药品
627|9511|好评药品|好评药品
8786|10647|好评药品|好评药品
4019|9869|好评药品|好评药品
6911|9709|好评药品|好评药品
4739|11443|好评药品|好评药品
8243|11732|好评药品|好评药品
2701|11452|好评药品|好评药品
5674|9594|好评药品|好评药品
3474|9202|好评药品|好评药品
1323|11286|好评药品|好评药品
3660|10210|好评药品|好评药品
4086|9484|好评药品|好评药品
702|10579|好评药品|好评药品
2641|9250|好评药品|好评药品
1294|9383|好评药品|好评药品
6219|12080|好评药品|好评药品
490|9002|好评药品|好评药品
769|9624|好评药品|好评药品
1046|11145|好评药品|好评药品
3758|11298|好评药品|好评药品
7756|12184|好评药品|好评药品
8283|12050|好评药品|好评药品
2104|11749|好评药品|好评药品
5113|11533|好评药品|好评药品
1603|9501|好评药品|好评药品
8489|11448|好评药品|好评药品
2575|8932|好评药品|好评药品
772|9679|好评药品|好评药品
8412|12090|好评药品|好评药品
2924|9123|好评药品|好评药品
2281|12586|好评药品|好评药品
7357|11916|好评药品|好评药品
6891|12184|好评药品|好评药品
8443|11630|好评药品|好评药品
5679|10287|好评药品|好评药品
1274|10599|好评药品|好评药品
141|11488|好评药品|好评药品
852|9237|好评药品|好评药品
3908|12143|好评药品|好评药品
6106|10282|好评药品|好评药品
6355|10298|好评药品|好评药品
4372|8928|好评药品|好评药品
6603|10235|好评药品|好评药品
2625|10207|好评药品|好评药品
7729|9317|好评药品|好评药品
7347|11442|好评药品|好评药品
2010|11668|好评药品|好评药品
1978|9243|好评药品|好评药品
7275|11618|好评药品|好评药品
3655|11806|好评药品|好评药品
3821|9142|好评药品|好评药品
1516|11917|好评药品|好评药品
7325|11071|好评药品|好评药品
23|10995|好评药品|好评药品
664|10447|好评药品|好评药品
1105|11368|好评药品|好评药品
7948|12605|好评药品|好评药品
3838|11223|好评药品|好评药品
1409|12586|好评药品|好评药品
8348|11557|好评药品|好评药品
6370|8875|好评药品|好评药品
7590|10469|好评药品|好评药品
5711|9297|好评药品|好评药品
2073|11917|好评药品|好评药品
1472|9793|好评药品|好评药品
6058|10993|好评药品|好评药品
5608|11795|好评药品|好评药品
6161|9367|好评药品|好评药品
7405|9383|好评药品|好评药品
4137|8989|好评药品|好评药品
4293|8872|好评药品|好评药品
8374|9834|好评药品|好评药品
5556|10053|好评药品|好评药品
6767|11451|好评药品|好评药品
586|11587|好评药品|好评药品
8231|10205|好评药品|好评药品
5474|11060|好评药品|好评药品
4386|10207|好评药品|好评药品
6977|9410|好评药品|好评药品
7916|12159|好评药品|好评药品
3700|12270|好评药品|好评药品
149|11933|好评药品|好评药品
5024|10250|好评药品|好评药品
537|11125|好评药品|好评药品
1512|9241|好评药品|好评药品
6003|9794|好评药品|好评药品
55|9502|好评药品|好评药品
2198|10692|好评药品|好评药品
8054|8904|好评药品|好评药品
4591|8896|好评药品|好评药品
4335|9367|好评药品|好评药品
6384|12579|好评药品|好评药品
3335|9810|好评药品|好评药品
4491|11343|好评药品|好评药品
6506|10550|好评药品|好评药品
4565|9219|好评药品|好评药品
1033|10131|好评药品|好评药品
6103|10408|好评药品|好评药品
3364|10821|好评药品|好评药品
1036|9147|好评药品|好评药品
1962|8815|好评药品|好评药品
1328|11145|好评药品|好评药品
8760|11198|好评药品|好评药品
2072|12311|好评药品|好评药品
4390|9484|好评药品|好评药品
1729|11931|好评药品|好评药品
2359|9142|好评药品|好评药品
7997|11991|好评药品|好评药品
8129|10787|好评药品|好评药品
3531|9002|好评药品|好评药品
5821|11293|好评药品|好评药品
3683|9017|好评药品|好评药品
656|9288|好评药品|好评药品
6405|10319|好评药品|好评药品
230|9257|好评药品|好评药品
2822|9049|好评药品|好评药品
8180|11195|好评药品|好评药品
856|10377|好评药品|好评药品
4426|12588|好评药品|好评药品
5124|9856|好评药品|好评药品
8251|12462|好评药品|好评药品
1799|8893|好评药品|好评药品
8144|10971|好评药品|好评药品
3452|10723|好评药品|好评药品
484|11106|好评药品|好评药品
7399|10061|好评药品|好评药品
5355|8875|好评药品|好评药品
5975|11823|好评药品|好评药品
2496|10456|好评药品|好评药品
2505|11812|好评药品|好评药品
2045|11065|好评药品|好评药品
2456|11483|好评药品|好评药品
2736|11754|好评药品|好评药品
2956|8836|好评药品|好评药品
5364|12492|好评药品|好评药品
5921|12597|好评药品|好评药品
7021|12494|好评药品|好评药品
641|9256|好评药品|好评药品
1698|10366|好评药品|好评药品
6194|10932|好评药品|好评药品
8377|11735|好评药品|好评药品
2342|10953|好评药品|好评药品
2586|12074|好评药品|好评药品
4834|12311|好评药品|好评药品
5829|10722|好评药品|好评药品
6415|9015|好评药品|好评药品
4696|11749|好评药品|好评药品
4612|11448|好评药品|好评药品
106|11732|好评药品|好评药品
8678|11121|好评药品|好评药品
3292|11436|好评药品|好评药品
6079|10154|好评药品|好评药品
4597|10888|好评药品|好评药品
6324|11225|好评药品|好评药品
5344|10564|好评药品|好评药品
4602|12597|好评药品|好评药品
4278|9111|好评药品|好评药品
5126|10844|好评药品|好评药品
6215|9856|好评药品|好评药品
6982|10706|好评药品|好评药品
7946|8989|好评药品|好评药品
1324|12134|好评药品|好评药品
1302|12526|好评药品|好评药品
883|8932|好评药品|好评药品
5828|11017|好评药品|好评药品
153|11441|好评药品|好评药品
1024|11063|好评药品|好评药品
8414|12359|好评药品|好评药品
7498|8960|好评药品|好评药品
5172|9959|好评药品|好评药品
7866|11285|好评药品|好评药品
6089|12500|好评药品|好评药品
5628|10376|好评药品|好评药品
8153|10470|好评药品|好评药品
4031|10868|好评药品|好评药品
2010|11792|好评药品|好评药品
4965|9330|好评药品|好评药品
3816|12101|好评药品|好评药品
6602|12049|好评药品|好评药品
8118|10689|好评药品|好评药品
2417|10896|好评药品|好评药品
3732|10552|好评药品|好评药品
1162|9346|好评药品|好评药品
8620|9358|好评药品|好评药品
5478|9414|好评药品|好评药品
7739|12159|好评药品|好评药品
7635|12211|好评药品|好评药品
1841|11793|好评药品|好评药品
3005|12266|好评药品|好评药品
7934|12099|好评药品|好评药品
8238|12339|好评药品|好评药品
3016|12099|好评药品|好评药品
4211|10303|好评药品|好评药品
2967|9875|好评药品|好评药品
5866|10376|好评药品|好评药品
7916|10325|好评药品|好评药品
2415|11780|好评药品|好评药品
2548|11017|好评药品|好评药品
5707|10091|好评药品|好评药品
954|11065|好评药品|好评药品
4909|9623|好评药品|好评药品
8051|10110|好评药品|好评药品
3762|12561|好评药品|好评药品
8369|12372|好评药品|好评药品
7761|9937|好评药品|好评药品
4564|11628|好评药品|好评药品
6437|9953|好评药品|好评药品
1926|11962|好评药品|好评药品
7177|10316|好评药品|好评药品
7184|11446|好评药品|好评药品
2835|8828|好评药品|好评药品
819|9598|好评药品|好评药品
8236|9056|好评药品|好评药品
8067|10344|好评药品|好评药品
3037|9231|好评药品|好评药品
5676|11638|好评药品|好评药品
8549|9559|好评药品|好评药品
1875|10219|好评药品|好评药品
2705|10671|好评药品|好评药品
4079|9747|好评药品|好评药品
5181|9709|好评药品|好评药品
5796|12628|好评药品|好评药品
6660|12109|好评药品|好评药品
2522|9207|好评药品|好评药品
3534|11865|好评药品|好评药品
8131|9317|好评药品|好评药品
5754|10519|好评药品|好评药品
